timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1674383957125,628,https://angobackend.nitishgarg.org/api/63cd047347a55ce7481b5df0,200,OK,Performance Test & Load Testing 1-28,text,true,,583,1380,7,7,https://angobackend.nitishgarg.org/api/63cd047347a55ce7481b5df0,628,0,0
1674383956949,855,https://angobackend.nitishgarg.org/api/ads/getAdsByUser/63c90b8c43adf29c4891cc04,200,OK,Performance Test & Load Testing 1-27,text,true,,11549,1344,7,7,https://angobackend.nitishgarg.org/api/ads/getAdsByUser/63c90b8c43adf29c4891cc04,855,0,0
1674383957462,387,https://angobackend.nitishgarg.org/user/all-users,304,Not Modified,Performance Test & Load Testing 1-26,,true,,219,411,7,7,https://angobackend.nitishgarg.org/user/all-users,0,0,0
1674383949605,8239,Users,200,"Number of samples in transaction : 14, number of failing samples : 0",Performance Test & Load Testing 1-26,,true,,20275,14401,7,7,null,4675,5,0
1674383957754,388,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-28,,true,,220,414,7,7,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383957805,401,https://angobackend.nitishgarg.org/api/review/63c90b8c43adf29c4891cc04,200,OK,Performance Test & Load Testing 1-27,text,true,,312,1334,7,7,https://angobackend.nitishgarg.org/api/review/63c90b8c43adf29c4891cc04,401,0,0
1674383957035,1178,https://angobackend.nitishgarg.org/api/admin/ad/63ca697a2a8fcb1dc52c8743,200,OK,Performance Test & Load Testing 1-25,text,true,,1802,1389,7,7,https://angobackend.nitishgarg.org/api/admin/ad/63ca697a2a8fcb1dc52c8743,1178,0,0
1674383957685,578,https://angobackend.nitishgarg.org/api/all-banner,304,Not Modified,Performance Test & Load Testing 1-24,,true,,220,412,7,7,https://angobackend.nitishgarg.org/api/all-banner,0,0,0
1674383958143,386,https://angobackend.nitishgarg.org/api/all-category,304,Not Modified,Performance Test & Load Testing 1-28,,true,,220,414,7,7,https://angobackend.nitishgarg.org/api/all-category,0,0,0
1674383957850,817,https://angobackend.nitishgarg.org/api/admin,200,OK,Performance Test & Load Testing 1-26,text,true,,13494,1308,7,7,https://angobackend.nitishgarg.org/api/admin,817,0,0
1674383958264,445,https://angobackend.nitishgarg.org/api/file-upload/file,500,Internal Server Error,Performance Test & Load Testing 1-24,text,false,,1079,1438,7,7,https://angobackend.nitishgarg.org/api/file-upload/file,445,0,0
1674383958251,647,https://angobackend.nitishgarg.org/api/63cd047347a55ce7481b5df0,200,OK,Performance Test & Load Testing 1-30,text,true,,583,1380,7,7,https://angobackend.nitishgarg.org/api/63cd047347a55ce7481b5df0,647,0,0
1674383958213,833,https://angobackend.nitishgarg.org/api/admin,304,Not Modified,Performance Test & Load Testing 1-25,,true,,220,1361,7,7,https://angobackend.nitishgarg.org/api/admin,0,0,0
